"x","lp","pp","tp"
1,5,5,5
2,5,5,5
3,5,5,5
4,5,5,5
5,5,5,5
6,5,5,5.36328659305705
7,5,5,8.52551131122632
8,5,5,15.8252991759512
9,5,5,25.7514100962806
10,5,5,35.7284337296496
11,50,50.4686467234116,43.6472118205544
12,50,46.3479566971681,48.4268256440285
13,50,42.6007127159691,49.9343674070278
14,50,39.1930704606178,48.6557527242286
15,50,36.094252823251,45.3574950466057
16,50,33.2762719349769,40.8383248568413
17,50,30.7136763853316,35.7861020341962
18,50,28.3833213504955,30.7191071923059
19,50,26.2641595541137,25.9820240765904
20,50,24.3370511727251,21.7707711846584
21,50,22.5845909689033,18.1680263539333
22,50,20.9909510908152,15.1786270288327
23,50,19.5417381183926,12.7595456942051
24,50,18.2238630649912,10.8426979797991
25,50,17.0254231604171,9.35082660223813
26,50,15.9355943476107,8.20761126921167
27,50,14.944533522041,7.34340867883737
28,50,14.0432896308561,6.69793638080447
29,50,13.2237228288577,6.22097787885338
30,50,12.4784309611318,5.87191795814829
31,50,11.8006827083425,5.61867382018086
32,50,11.1843567908727,5.43639137916724
33,50,10.6238866827145,5.30613006970038
34,50,10.1142103357769,5.21365773281145
35,50,9.65072446053317,5.14841042268096
36,50,9.22924295007823,5.10263108435331
37,50,8.84595907209173,5.07067809159968
38,50,8.49741108723277,5.04848343926519
39,50,8.18045098343859,5.03313645824519
40,50,7.89221604374192,5.02256915793907
41,5,7.63010299081369,5.01532166422278
42,5,7.39174447470992,5.01036944691683
43,5,7.17498769146514,5.00699738616431
44,5,6.97787493941994,5.00470882599895
45,5,6.79862593767148,5.00316043555441
46,5,6.63562174695099,5.00211590010206
47,5,6.48739014770488,5.00141321960397
48,5,6.35259234331752,5.00094175746858
49,5,6.23001086838192,5.00062622256933
50,5,6.11853859280828,5.00041554764358
